,nox,nox_categoria
577,24.7481,Bajo
578,22.4692,Bajo
579,17.4938,Bajo
580,17.30625,Bajo
581,21.9772,Bajo
582,47.9165,Medio
583,64.0573,Alto
584,110.368,Alto
585,89.0967,Alto
586,71.5336,Alto
587,40.2395,Medio
588,34.70415,Medio
589,30.572850000000003,Bajo
590,26.6686,Bajo
591,28.9291,Bajo
592,33.2592,Medio
593,35.463,Medio
594,34.40655,Medio
595,31.5782,Bajo
596,45.9115,Medio
597,41.8026,Medio
598,42.65485,Medio
599,51.4089,Medio
600,37.2541,Medio
601,28.6509,Bajo
602,19.7282,Bajo
603,26.51335,Bajo
604,30.7041,Bajo
605,36.1795,Medio
606,42.5311,Medio
607,54.2975,Alto
608,90.5412,Alto
609,78.7843,Alto
610,94.59965,Alto
611,110.415,Alto
612,80.2091,Alto
613,30.5163,Bajo
614,24.73595,Bajo
615,18.2294,Bajo
616,11.7077,Bajo
617,11.09855,Bajo
618,13.825,Bajo
619,22.44,Bajo
620,30.3103,Bajo
621,35.0212,Medio
622,36.472,Medio
623,32.18965,Medio
624,28.35415,Bajo
625,24.09425,Bajo
626,21.74785,Bajo
627,19.41475,Bajo
628,19.08285,Bajo
629,20.5642,Bajo
630,24.0452,Bajo
631,25.7417,Bajo
632,30.0397,Bajo
633,27.11115,Bajo
634,26.87225,Bajo
635,17.69945,Bajo
636,22.84105,Bajo
637,27.46405,Bajo
638,22.0385,Bajo
639,19.629,Bajo
640,13.64375,Bajo
641,16.0411,Bajo
642,19.17925,Bajo
643,22.8158,Bajo
644,27.3808,Bajo
645,28.80055,Bajo
646,25.1287,Bajo
647,23.3987,Bajo
648,17.17675,Bajo
649,24.1497,Bajo
650,12.39515,Bajo
