,no,no_sqrt
2897,1.977,1.4060583202698245
2898,1.8425,1.3573871960498227
2899,2.82095,1.6795683969401187
2900,7.0544,2.6560120481654446
2901,4.70485,2.1690666195393815
2902,5.24,2.2891046284519194
2903,3.2339333333333333,1.7983140252284453
2904,3.4887,1.8678061997969704
2905,3.400633333333333,1.8440806200742237
2906,3.657066666666666,1.9123458543544538
2907,6.253433333333334,2.5006865723903373
2908,6.3863666666666665,2.5271261675402488
2909,6.482399999999999,2.5460557731518763
2910,19.48783333333333,4.414502614489352
2911,43.756150000000005,6.614843157626642
2912,60.45315,7.775162377725626
2913,53.85125,7.338341093189932
2914,15.4028,3.92464011088915
2915,8.9653,2.9942110814035807
2916,3.67145,1.9161028156129827
2917,3.121433333333333,1.7667578592816089
2918,5.067633333333333,2.251140451711828
2919,5.960366666666666,2.4413862182511528
2920,5.825,2.4135036772294343
2921,4.7462,2.1785775175558935
2922,4.998133333333333,2.2356505391794426
2923,15.2221,3.901550973651376
2924,29.63845,5.444120681983455
2925,30.86765,5.5558662690889165
2926,29.81865,5.4606455662311575
2927,31.08685,5.575558268012271
2928,19.67515,4.435667931664858
2929,12.040566666666669,3.4699519689279086
2930,7.558533333333333,2.749278693281809
2931,6.701666666666667,2.588757745843876
2932,9.002966666666667,3.000494403705274
2933,18.766166666666667,4.3319933825742005
2934,37.00776666666667,6.08340091286664
2935,51.55495,7.1801775744058025
2936,74.66069999999999,8.640642337233963
2937,41.23083333333333,6.421123992988559
2938,23.5008,4.847762370413798
2939,13.640966666666666,3.693367930042533
2940,10.3371,3.215136077991101
2941,8.406766666666666,2.899442475143569
2942,9.122066666666669,3.020275925584725
2943,10.226166666666666,3.19783781118847
2944,5.544566666666667,2.3546903547317357
2945,8.690666666666667,2.9479936680167187
2946,11.186566666666666,3.344632515937538
2947,23.50185,4.847870666591674
2948,14.315066666666668,3.783525692613527
2949,20.8081,4.561589635203938
2950,25.02976666666667,5.0029757811393285
2951,23.79833333333333,4.878353547390075
2952,20.151866666666663,4.489083054106558
2953,23.740566666666663,4.8724292367018185
2954,20.1909,4.493428535094332
2955,15.605,3.950316443020736
2956,10.0783,3.174633837153507
2957,12.817266666666669,3.5801210407843294
2958,17.771466666666665,4.215621741412133
2959,23.2178,4.818485239159709
2960,33.03803333333334,5.747872070021509
2961,37.27673333333333,6.105467495068115
2962,27.3928,5.233813141486807
2963,18.241533333333333,4.271010809320591
2964,16.508366666666667,4.063048937271943
2965,22.2032,4.712027164607607
2966,14.073166666666664,3.7514219526289847
2967,8.1547,2.8556435351773164
2968,8.074733333333333,2.841607526266309
2969,12.584233333333335,3.5474262970967185
2970,12.4415,3.5272510542914293
2971,19.49233333333333,4.415012268763625
2972,23.13113333333333,4.809483686772763
2973,21.922866666666668,4.682186099106556
2974,18.167166666666667,4.262295938419418
2975,14.861966666666667,3.855122133819714
2976,12.362099999999998,3.5159778156296717
2977,10.168366666666666,3.188787648412272
2978,9.8548,3.13923557574133
2979,10.793766666666665,3.285386836685547
2980,11.706733333333332,3.421510387728398
2981,14.368899999999998,3.7906331924890857
2982,16.393433333333334,4.048880503711283
2983,30.79985,5.549761256126249
2984,32.0989,5.665589113234386
2985,28.6127,5.349084033738861
2986,15.079833333333331,3.8832761083051164
2987,12.9767,3.6023186977278954
2988,4.4543,2.110521262626842
2989,3.096166666666667,1.7595927559144664
